2025-04-23 01:38:57 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 13:27:32 | LOGOUT | User: Michael Chen (S2345678B) | Type: APPLICANT
2025-04-23 13:27:35 | LOGIN | User: Jennifer Ng (S5678901E) | Type: HDB_OFFICER
2025-04-23 13:29:10 | LOGOUT | User: Jennifer Ng (S5678901E) | Type: HDB_OFFICER
2025-04-23 13:29:40 | LOGIN | User: Michael Chen (S2345678B) | Type: APPLICANT
2025-04-23 13:29:58 | LOGOUT | User: Michael Chen (S2345678B) | Type: APPLICANT
2025-04-23 13:30:11 | LOGIN | User: Jennifer Ng (S5678901E) | Type: HDB_OFFICER
2025-04-23 14:23:43 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 14:26:00 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 14:28:36 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 14:28:41 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 14:29:03 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 14:29:12 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 14:29:53 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 14:33:09 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 14:33:18 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 14:33:18 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 14:42:03 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 16:33:37 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 16:39:56 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 16:40:12 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 16:40:24 | LOGIN | User: Sarah Lim (S7654321A) | Type: HDB_OFFICER
2025-04-23 16:40:44 | LOGOUT | User: Sarah Lim (S7654321A) | Type: HDB_OFFICER
2025-04-23 16:40:52 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 16:51:12 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 16:52:06 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 16:52:28 | LOGIN | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 17:02:33 | LOGIN | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 17:03:20 | LOGOUT | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 17:04:00 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:07:53 | LOGIN | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-23 17:08:10 | LOGOUT | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-23 17:08:24 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:09:08 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:09:33 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:09:42 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:09:57 | LOGIN | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 17:10:24 | LOGOUT | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 17:10:35 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:11:31 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:11:44 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:12:27 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:12:37 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:12:52 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:13:06 | LOGIN | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 17:13:57 | LOGOUT | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 17:14:17 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:17:00 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:17:16 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:17:29 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:18:43 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:18:51 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:19:07 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:19:19 | LOGIN | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 17:19:43 | LOGOUT | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 17:20:11 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:20:33 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:20:46 | LOGIN | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 17:21:43 | LOGOUT | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 17:21:56 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:22:06 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:22:13 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:23:05 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:23:13 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:23:32 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:24:00 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 17:24:10 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:24:34 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 17:24:47 | LOGIN | User: Sarah Lim (S7654321A) | Type: HDB_OFFICER
2025-04-23 17:25:20 | LOGOUT | User: Sarah Lim (S7654321A) | Type: HDB_OFFICER
2025-04-23 17:25:30 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:04:25 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:17:18 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:17:27 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:17:43 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:17:57 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:20:27 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:29:24 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:29:34 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:29:39 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:29:40 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:29:51 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:30:43 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:30:52 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:31:26 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:31:41 | LOGIN | User: Sarah Lim (S7654321A) | Type: HDB_OFFICER
2025-04-23 18:32:20 | LOGOUT | User: Sarah Lim (S7654321A) | Type: HDB_OFFICER
2025-04-23 18:32:31 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:39:36 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:39:42 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:39:51 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:40:13 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:40:23 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:40:46 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:40:52 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:41:17 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 18:41:29 | LOGIN | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 18:42:09 | LOGOUT | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 18:42:37 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:43:10 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:43:15 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:43:42 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:46:24 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:46:41 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:49:35 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:49:41 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 18:50:07 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 21:06:47 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:07:05 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:07:16 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 21:08:00 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 21:08:24 | LOGIN | User: Sarah Lim (S7654321A) | Type: HDB_OFFICER
2025-04-23 21:09:56 | LOGIN | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 21:10:45 | LOGOUT | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 21:10:55 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:11:54 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:12:14 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:12:51 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:15:06 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:15:17 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:15:27 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 21:17:26 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-23 21:17:40 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:23:59 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:25:38 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:25:54 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:31:27 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:32:10 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:40:15 | LOGIN | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 21:40:25 | LOGOUT | User: David Wong (S6789012F) | Type: HDB_OFFICER
2025-04-23 21:40:36 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:41:32 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:43:20 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 21:44:01 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-23 23:01:50 | LOGIN | User: James Lee (S1145144E) | Type: HDB_OFFICER
2025-04-24 15:52:42 | LOGIN | User: Michael Chen (S2345678B) | Type: APPLICANT
2025-04-24 15:54:30 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-24 15:56:31 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-24 15:56:58 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 15:57:47 | LOGIN | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 15:58:53 | LOGIN | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-24 15:59:44 | LOGOUT | User: Mary Lee (S4567890D) | Type: APPLICANT
2025-04-24 15:59:47 | LOGIN | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-24 16:02:01 | LOGIN | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-24 16:03:21 | LOGOUT | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-24 16:09:14 | LOGIN | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-24 16:10:26 | LOGIN | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-24 16:10:59 | LOGIN | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 16:14:29 | LOGIN | User: Michael Chen (S2345678B) | Type: APPLICANT
2025-04-24 16:15:32 | LOGIN | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 16:16:11 | LOGIN | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 16:16:23 | LOGOUT | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 16:16:46 | LOGIN | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-24 16:22:26 | LOGIN | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-24 16:23:46 | LOGIN | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-24 16:24:30 | LOGIN | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-24 16:26:22 | LOGIN | User: Robert Goh (S1234567A) | Type: APPLICANT
2025-04-24 16:29:12 | LOGIN | User: Robert Goh (S1234567A) | Type: APPLICANT
2025-04-24 17:04:27 | LOGIN | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 17:04:41 | LOGOUT | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 17:13:46 | LOGIN | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 17:13:56 | LOGOUT | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 17:15:41 | LOGIN | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 17:15:49 | LOGOUT | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 20:53:39 | LOGIN | User: Sarah Lim (S7654321A) | Type: HDB_OFFICER
2025-04-24 20:54:15 | LOGIN | User: Jennifer Ng (S5678901E) | Type: HDB_OFFICER
2025-04-24 20:55:27 | LOGIN | User: Thomas Wong (S7890123G) | Type: HDB_MANAGER
2025-04-24 22:36:16 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:39:27 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:39:38 | LOGIN | User: James Lee (S1145144E) | Type: HDB_OFFICER
2025-04-24 22:40:16 | LOGOUT | User: James Lee (S1145144E) | Type: HDB_OFFICER
2025-04-24 22:40:26 | LOGIN | User: Jennifer Ng (S5678901E) | Type: HDB_OFFICER
2025-04-24 22:40:40 | LOGOUT | User: Jennifer Ng (S5678901E) | Type: HDB_OFFICER
2025-04-24 22:40:54 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:41:59 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:43:11 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:43:12 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:43:20 | LOGIN | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 22:44:06 | LOGOUT | User: John Tan (S3456789C) | Type: APPLICANT
2025-04-24 22:44:13 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:44:30 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:44:41 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:45:00 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:45:09 | LOGIN | User: James Lee (S1145144E) | Type: HDB_OFFICER
2025-04-24 22:45:19 | LOGOUT | User: James Lee (S1145144E) | Type: HDB_OFFICER
2025-04-24 22:45:26 | LOGIN | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:45:47 | LOGOUT | User: Patricia Lim (S8901234H) | Type: HDB_MANAGER
2025-04-24 22:45:59 | LOGIN | User: James Lee (S1145144E) | Type: HDB_OFFICER
2025-04-24 22:46:54 | LOGOUT | User: James Lee (S1145144E) | Type: HDB_OFFICER
